,id,Cuisine Style
0,d7992032,"Asian,Nepali"
1,d1358776,
2,d12503536,"Bar,European,Portuguese"
3,d12845029,"Cafe,European"
4,d10696479,"Mediterranean,Spanish"
5,d10058810,
6,d10060659,"Spanish,Wine Bar"
7,d11616946,
8,d2040769,
9,d5776152,"Bar,Mediterranean,Spanish"
10,d11841754,"American,European,Diner"
11,d8791087,
12,d12447161,"Italian,Bar,Vegetarian Friendly"
13,d12391114,
14,d697485,
15,d1035491,
16,d12676684,"Specialty Food Market,German,Deli"
17,d11770289,
18,d10073699,"European,Hungarian"
19,d11687952,"Vegetarian Friendly,Vegan Options,Gluten Free Options"
20,d12911907,
21,d7805333,
22,d10027275,"Dutch,Cafe,European"
23,d5599563,"French,European"
24,d7623654,"French,Vegetarian Friendly,Vegan Options"
25,d4768085,"Quick Bites,Fast Food"
26,d6632829,
27,d11667577,
28,d7995801,Eastern European
29,d1328183,
30,d10392913,
31,d7967318,Italian
32,d12681857,French
33,d13094972,Vegetarian Friendly
34,d7994738,
35,d3612769,
36,d5867903,
37,d12111665,"Cafe,European"
38,d12949592,Indian
39,d12556149,"Chinese,International,Asian"
40,d11995686,
41,d13284434,"Japanese,Asian"
42,d10336129,"French,Bar,Cafe"
43,d12068247,
44,d10520643,"European,Portuguese"
45,d10677156,"Indian,Vegetarian Friendly,Vegan Options"
46,d9562461,
47,d5979704,
48,d13139218,
49,d2697097,
50,d7243246,
51,d8293300,"Quick Bites,Fast Food"
52,d11903856,"Austrian,European,Central European"
53,d11909263,
54,d12999507,
55,d12336001,"Cafe,European,Portuguese"
56,d1347837,"Italian,Mediterranean"
57,d8319709,
58,d4946996,
59,d11914515,
60,d1074698,Basque
61,d1324782,
62,d5796187,Fast Food
63,d7621848,"Italian,Pizza,Vegetarian Friendly"
64,d5795989,
65,d8339930,
66,d6278406,
67,d10039662,"Mediterranean,Spanish,Vegetarian Friendly"
68,d1035596,
69,d12512228,"Barbecue,British"
70,d9984284,
71,d10533412,French
72,d4727188,"Portuguese,Vegetarian Friendly"
73,d6672773,
74,d4556019,"Italian,International"
75,d12049003,
76,d4770088,
77,d8736586,Cafe
78,d1965515,Spanish
79,d10430050,Spanish
80,d5869951,"Bar,Pub"
81,d10724032,
82,d12997561,"Italian,Mediterranean"
83,d12359266,
84,d12114896,
85,d1417391,"Mediterranean,European"
86,d1820729,Italian
87,d997803,
88,d959162,
89,d12548187,Spanish
90,d11749991,Deli
91,d12113037,"French,Cafe"
92,d12321528,"French,American,Vegetarian Friendly"
93,d8339764,Italian
94,d5442851,
95,d7097810,
96,d7996902,
97,d1354477,
98,d8381040,"European,Portuguese"
99,d11958460,
100,d8073030,
101,d11666969,
102,d10814311,
103,d1097059,
104,d12428801,
105,d1360884,German
106,d12229735,
107,d5787627,
108,d7992689,
109,d1043805,
110,d12630204,"Italian,Mediterranean,Vegetarian Friendly"
111,d1093837,
112,d2407506,
113,d8759915,
114,d7246537,"Pizza,Seafood"
115,d3709334,"Mediterranean,Barbecue,Greek"
116,d5614471,Spanish
117,d6697515,Italian
118,d4227711,"French,Bar,European"
119,d10109314,International
120,d4953429,
121,d12875617,
122,d990817,
123,d11842481,Diner
124,d12172734,
125,d11543758,
126,d10026779,"European,Portuguese"
127,d8401819,"Bar,Cafe,Grill,Pub"
128,d12921595,"Italian,Mediterranean,Romana"
