,id,Number of Reviews
0,d12845029,1.0
1,d10058810,
2,d8791087,1.0
3,d13197631,48.0
4,d12243659,1.0
5,d13284434,22.0
6,d12068247,
7,d2424319,1.0
8,d13139218,2.0
9,d7243246,
10,d8660001,2.0
11,d12572658,2.0
12,d4946996,1.0
13,d8339930,2.0
14,d12049003,1.0
15,d12384552,4.0
16,d10724032,1.0
17,d12114896,1.0
18,d5442851,3.0
19,d7996902,1.0
20,d1354477,1.0
21,d11958460,1.0
22,d12098434,2.0
23,d10079338,
24,d12842987,2.0
25,d13226281,3.0
26,d12229735,1.0
27,d1043805,2.0
28,d7246537,1.0
29,d12175079,1.0
30,d4173077,1.0
31,d7724601,1.0
32,d12875617,5.0
33,d12172734,2.0
34,d11543758,1.0
35,d3735823,1.0
36,d12322989,3.0
37,d4768291,3.0
38,d10587448,20.0
39,d12873448,6.0
40,d11861153,1.0
41,d8571233,3.0
42,d9752550,
43,d10818786,2.0
44,d7124393,1.0
45,d8602510,1.0
46,d11951673,23.0
47,d12404527,5.0
48,d7160467,1.0
49,d11812785,1.0
50,d11871901,2.0
51,d5583335,
52,d7787852,1.0
53,d10467094,3.0
54,d11950716,2.0
55,d12883544,11.0
56,d13206566,
57,d13153300,17.0
58,d7205059,6.0
59,d13152856,56.0
60,d6224819,1.0
61,d10524857,5.0
62,d7274076,1.0
63,d3367014,1.0
64,d10479056,
65,d12691511,3.0
66,d5862958,
67,d12395922,1.0
68,d7045726,1.0
69,d13125687,6.0
70,d5617497,1.0
71,d13284579,5.0
72,d12911571,
73,d5981992,0.0
74,d12408013,2.0
75,d13239000,21.0
76,d12567561,4.0
77,d7124407,1.0
78,d9740773,3.0
79,d717321,1.0
80,d8871731,1.0
81,d6380666,1.0
82,d10486190,
83,d13133990,14.0
84,d6986251,1.0
85,d7123548,1.0
86,d939738,1.0
87,d8333948,11.0
88,d10529250,2.0
89,d1044850,1.0
90,d12933690,11.0
91,d5122077,
92,d8339780,4.0
93,d10320753,1.0
94,d6107125,1.0
95,d12135807,1.0
96,d4769848,4.0
