,id,Price Range
0,d7992032,$$ - $$$
1,d1358776,
2,d12503536,$$ - $$$
3,d3199765,
4,d12845029,
5,d10696479,$
6,d10266473,
7,d10058810,
8,d10060659,$$ - $$$
9,d11616946,
10,d2040769,
11,d5776152,$
12,d11841754,$$ - $$$
13,d8791087,
14,d3543959,
15,d12447161,$$ - $$$
16,d5981466,$$ - $$$
17,d7276832,
18,d12550964,$$ - $$$
19,d5408595,$
20,d12391114,$
21,d7332770,$
22,d697485,
23,d1035491,
24,d12676684,$
25,d11770289,
26,d10073699,$
27,d11687952,$$ - $$$
28,d12911907,
29,d7805333,
30,d3345223,
31,d10027275,$
32,d5599563,$$$$
33,d7623654,$
34,d4768085,$
35,d12350248,
36,d13197631,$$ - $$$
37,d8772965,
38,d6632829,
39,d11667577,
40,d11951657,
41,d7995801,$$ - $$$
42,d1328183,
43,d10392913,$$ - $$$
44,d7967318,$
45,d12681857,$
46,d13094972,$$ - $$$
47,d4770241,
48,d7994738,$
49,d3612769,$
50,d4600226,
51,d5867903,
52,d12111665,$
53,d5058767,$
54,d12949592,
55,d12556149,$$ - $$$
56,d11999809,
57,d11995686,
58,d13284434,$$ - $$$
59,d10336129,$
60,d10498197,
61,d2722599,
62,d12068247,
63,d10520643,$
64,d2424319,
65,d10677156,$
66,d9562461,$$ - $$$
67,d5979704,
68,d13139218,
69,d3193915,
70,d2697097,$$ - $$$
71,d13001826,$
72,d7243246,
73,d10735345,
74,d8293300,$
75,d3873744,$
76,d11903856,$
77,d4844610,$$ - $$$
78,d11909263,
79,d12999507,
80,d12336001,$
81,d1347837,$$ - $$$
82,d8261215,$$ - $$$
83,d8319709,$
84,d12488103,
85,d4946996,
86,d11914515,
87,d3912269,
88,d3393987,
89,d1074698,$$ - $$$
90,d4961398,$$ - $$$
91,d1324782,$
92,d715001,$$ - $$$
93,d5796187,$
94,d7621848,$
95,d5795989,
96,d8339930,
97,d6278406,
98,d10039662,$
99,d1035596,$$ - $$$
100,d12512228,$$ - $$$
101,d9984284,
102,d10533412,
103,d4293803,
104,d4727188,$$ - $$$
105,d1103441,$$ - $$$
106,d1901926,
107,d10760580,
108,d7734583,
109,d6672773,$$ - $$$
110,d4556019,$$ - $$$
111,d12049003,
112,d4770088,
113,d3735127,
114,d4591733,
115,d8736586,$$ - $$$
116,d1965515,$$ - $$$
117,d5122063,
118,d10430050,$$ - $$$
119,d5869951,
120,d10724032,
121,d12997561,$$ - $$$
122,d12359266,
123,d12114896,
124,d1417391,$$ - $$$
125,d1820729,$$ - $$$
126,d997803,
127,d2625256,
128,d959162,
129,d12548187,$$ - $$$
130,d11749991,
131,d12113037,$$ - $$$
132,d12321528,$$ - $$$
133,d8339764,$
134,d5442851,
135,d7097810,
136,d7996902,
137,d1354477,
138,d8381040,
139,d11958460,
140,d8073030,$$ - $$$
141,d11666969,
142,d5936523,
143,d10814311,
144,d720652,
145,d1097059,$$ - $$$
146,d12945640,$$$$
147,d7092943,$
148,d13001385,$$$$
149,d4593810,
150,d12428801,
151,d13226281,
152,d2100338,
153,d1360884,
154,d4156673,
155,d12229735,
156,d5787627,
157,d4781734,
158,d7992689,
159,d4185793,
160,d1043805,
161,d12630204,$$ - $$$
162,d1093837,
163,d2407506,$
164,d8759915,
165,d904707,
166,d7246537,
167,d3709334,$
168,d5614471,$$ - $$$
169,d6697515,$$ - $$$
170,d4227711,$$ - $$$
171,d4173077,
172,d2614607,$
173,d10109314,
174,d1038938,
175,d4953429,$$ - $$$
176,d7724601,
177,d12875617,
178,d990817,
179,d7097337,
180,d11842481,
181,d12172734,
182,d11543758,
183,d10026779,$
184,d8401819,
185,d3735823,
186,d4799949,$
187,d1336101,
188,d12921595,$
189,d697252,
190,d10734451,$
191,d3785147,$
192,d12320220,$$ - $$$
193,d4768291,
194,d8517072,$
195,d12873448,
196,d10179197,
197,d7311463,$
198,d1037163,
199,d5220257,
200,d7690496,$
201,d12906918,$$ - $$$
202,d4924798,
203,d9781450,
204,d5122174,
205,d7644937,
206,d10028124,$
207,d10784649,$$ - $$$
208,d10040334,$$ - $$$
209,d12685574,
210,d12112547,
211,d3805143,
212,d5962368,
213,d1971797,
214,d10701333,$
215,d4770035,$$ - $$$
216,d10271724,$$ - $$$
217,d1039067,
218,d11861153,
219,d12417709,
220,d12206760,
221,d10769792,$$ - $$$
222,d10477806,$$ - $$$
223,d11958431,
224,d951933,
225,d5440481,$$ - $$$
226,d12598682,$
227,d8571233,
228,d5818174,$$ - $$$
229,d9752550,
230,d4875639,
231,d6813236,
232,d4418101,$
233,d5077935,
234,d10818786,
235,d8657804,
236,d7124393,
237,d5080700,$
238,d1356624,
239,d9832010,
240,d11029213,$$ - $$$
241,d1226617,$$ - $$$
242,d8602510,
243,d10398981,
244,d3685490,$$ - $$$
245,d8627732,
246,d10478105,$
247,d9729580,
248,d7211474,$$ - $$$
249,d3529487,$$ - $$$
250,d5812483,
251,d11951673,$$ - $$$
252,d12404527,
253,d8810157,
254,d1153049,$$$$
255,d5308351,
256,d1099621,$$ - $$$
257,d7160467,
258,d13139047,$$ - $$$
259,d11812785,
260,d7850012,$
261,d12709936,
262,d11958324,$$ - $$$
263,d12571607,$$ - $$$
264,d10076062,$$ - $$$
265,d7599401,$
266,d12407347,
267,d5081396,
268,d4191913,
269,d9747453,
270,d4492506,$
271,d11799782,$
272,d10488130,$
273,d5971427,$
274,d10811036,$$ - $$$
