ID_TA,Cuisine Style
d1358776,"[[],[]]"
d12845029,"[[],[]]"
d10696479,"[[],[]]"
d10859423,"[['Best paella we tried after a week in Madrid! Seafood was awesome, recommended wine was good. Staff was fast and friendly - all round good experience', 'Nice place, amazing food, good prices and excellent service ! We ate a sort of paella with lobster, gazpacho and mussels and everything was very agreeable. Thank you'], ['February 7, 2020', 'August 16, 2019']]"
d10058810,"[[], []]"
d12018194,"[[],[]]"
d5776152,"[[],[]]"
d3543959,"[[],[]]"
d10302313,"[['From the picture we can see the pizza was so good that I only thought about taking a picture at the end. In Madrid this happen to be one of the best pizza I have eaten. It is close to my house and the delivery...was quick. Not a lot of sauce or heavy dough. The prices are great and we enjoyed the pizza.More'], ['July 7, 2019']]"
d13322935,"[['We had sushi, Gyoza and noodles which were amazing and at a good price. The staff was super helpful and kept the restaurant open only for us when we booked earlier in the day. Highly recommend!', 'We were there at a Saturday evening... and there were only 2 other customers... the place looks nice so we gave it a chance!\n\nThe staff was really friendly and the choice of Sushi is really nice...\n\nWe really had a awesome Dinner and would...visit the Ristorante again 👌More', 'Horrible experience. Home experience is terrible. Sushi tasteless, the rice is soggy and the sashimi is very thick!'], ['February 6, 2020', 'May 26, 2019', 'March 10, 2019']]"
d12354572,"[[],[]]"
d5981466,"[['Aya bistrot II is a surprise. We left the selection of dishes to the sushiman Cicero and make no mistake. More generous portions than we are used in japanese restaurants. The space is simple, but is worth the trip.', ""Por acaso de uma vontade súbita da minha esposa viemos experimentar este restaurante. Apesar da aparência humilde, serviram sushi de excelente qualidade, extremamente saboroso, incluindo lombo e barriga de atum com sabor delicioso.\nBy chance of my wifes' sudden fancy we decided to try this...restaurant. Though it's humble in appearance, they served excellent sushi, extremely tasty, including akami and otoro tuna cuts with delicious taste.More""], ['September 23, 2020', 'June 4, 2018']]"
d12550964,"[[],[]]"
