ID_TA,Cuisine Style
d12845029,1.0
d8791087,1.0
d13197631,48.0
d12243659,1.0
d13284434,22.0
d2424319,1.0
d13139218,2.0
d8660001,2.0
d12572658,2.0
d4946996,1.0
d8339930,2.0
d12049003,1.0
d12384552,4.0
d10724032,1.0
d12114896,1.0
d5442851,3.0
d7996902,1.0
d1354477,1.0
d11958460,1.0
d12098434,2.0
d12842987,2.0
d13226281,3.0
d12229735,1.0
d1043805,2.0
d7246537,1.0
d12175079,1.0
d4173077,1.0
d7724601,1.0
d12875617,5.0
d12172734,2.0
d11543758,1.0
d3735823,1.0
d12322989,3.0
d4768291,3.0
d10587448,20.0
d12873448,6.0
d11861153,1.0
d8571233,3.0
d10818786,2.0
d7124393,1.0
d8602510,1.0
d11951673,23.0
d12404527,5.0
d7160467,1.0
d11812785,1.0
d11871901,2.0
d7787852,1.0
d10467094,3.0
d11950716,2.0
d12883544,11.0
d13153300,17.0
d7205059,6.0
d13152856,56.0
d6224819,1.0
d10524857,5.0
d7274076,1.0
d3367014,1.0
d12691511,3.0
d12395922,1.0
d7045726,1.0
d13125687,6.0
d5617497,1.0
d13284579,5.0
d5981992,0.0
d12408013,2.0
d13239000,21.0
d12567561,4.0
d7124407,1.0
d9740773,3.0
d717321,1.0
d8871731,1.0
d6380666,1.0
d13133990,14.0
d6986251,1.0
d7123548,1.0
d939738,1.0
d8333948,11.0
d10529250,2.0
d1044850,1.0
d12933690,11.0
d8339780,4.0
d10320753,1.0
d6107125,1.0
d12135807,1.0
d4769848,4.0
d11434812,6.0
d13002781,18.0
d12864876,17.0
d1320095,1.0
d4758586,2.0
d12351411,1.0
d997606,1.0
d12857123,4.0
d13135431,2.0
d11510425,3.0
d11829633,4.0
d1039258,1.0
d11771269,1.0
d7123406,1.0
d13130053,4.0
d2096383,1.0
d1356813,2.0
d10034211,4.0
d13129650,11.0
d13082910,39.0
d13288611,11.0
d12149655,1.0
d11500668,2.0
d4041933,1.0
d8279370,1.0
d6458692,1.0
d3791760,1.0
d10662137,3.0
d12946257,2.0
d13081831,17.0
d13117362,4.0
d12792802,2.0
d12554634,5.0
d13205446,4.0
d13421037,30.0
d1486745,1.0
d4084438,1.0
d8339618,1.0
d1103687,1.0
d4768775,1.0
d12832409,4.0
d7236057,2.0
d718042,1.0
d986430,1.0
d6999656,35.0
d10365832,2.0
d10470712,1.0
d4793252,1.0
d991499,2.0
d8385113,1.0
d8774827,1.0
d13189517,18.0
d12501561,3.0
d11712376,1.0
d4914376,3.0
d5243162,2.0
d5259633,1.0
d12959653,25.0
d13125943,3.0
d3200465,4.0
d13008535,1.0
d10347570,1.0
d13234497,11.0
d5936442,1.0
d13201288,58.0
d10517142,1.0
d8017741,1.0
d5955847,1.0
d7342196,1.0
d12242560,33.0
d8848749,1.0
d5794562,2.0
d13199889,67.0
d1234581,1.0
d697197,1.0
d1037140,4.0
d12431424,1.0
d718357,1.0
d1657483,1.0
d13126117,4.0
d12978805,2.0
d7123598,1.0
d12824847,2.0
d13172157,16.0
d3576247,1.0
d10584149,1.0
d8819098,2.0
d13274922,12.0
d4928913,2.0
d1195848,9.0
d12560018,1.0
d4221407,1.0
d3136268,1.0
d10266278,1.0
d9809593,1.0
d720646,2.0
d8261504,1.0
d12621405,8.0
d13197525,5.0
d7294241,1.0
d1571579,1.0
d10288999,1.0
d12625557,275.0
d4770140,1.0
d12731915,2.0
d7604228,1.0
d12716306,3.0
d8581485,2.0
d1185140,1.0
d10416601,1.0
d2085945,1.0
d1044344,2.0
d7597162,1.0
d7811215,1.0
d13129071,9.0
d13477951,1.0
d12438465,2.0
d5523143,1.0
d13195587,3.0
d11668002,4.0
d12210518,1.0
d12944013,5.0
d3439658,2.0
d12071777,1.0
d8130518,1.0
d8537733,1.0
d11737291,3.0
d5027108,1.0
d8834124,1.0
d12926411,1.0
d13289876,2.0
d1093661,1.0
d13116812,1.0
d12388275,1.0
d12645762,2.0
