ID_TA,Cuisine Style
d7992032,$$ - $$$
d12503536,$$ - $$$
d10696479,$
d10060659,$$ - $$$
d5776152,$
d11841754,$$ - $$$
d12447161,$$ - $$$
d5981466,$$ - $$$
d12550964,$$ - $$$
d5408595,$
d12391114,$
d7332770,$
d12676684,$
d10073699,$
d11687952,$$ - $$$
d10027275,$
d5599563,$$$$
d7623654,$
d4768085,$
d13197631,$$ - $$$
d7995801,$$ - $$$
d10392913,$$ - $$$
d7967318,$
d12681857,$
d13094972,$$ - $$$
d7994738,$
d3612769,$
d12111665,$
d5058767,$
d12556149,$$ - $$$
d13284434,$$ - $$$
d10336129,$
d10520643,$
d10677156,$
d9562461,$$ - $$$
d2697097,$$ - $$$
d13001826,$
d8293300,$
d3873744,$
d11903856,$
d4844610,$$ - $$$
d12336001,$
d1347837,$$ - $$$
d8261215,$$ - $$$
d8319709,$
d1074698,$$ - $$$
d4961398,$$ - $$$
d1324782,$
d715001,$$ - $$$
d5796187,$
d7621848,$
d10039662,$
d1035596,$$ - $$$
d12512228,$$ - $$$
d4727188,$$ - $$$
d1103441,$$ - $$$
d6672773,$$ - $$$
d4556019,$$ - $$$
d8736586,$$ - $$$
d1965515,$$ - $$$
d10430050,$$ - $$$
d12997561,$$ - $$$
d1417391,$$ - $$$
d1820729,$$ - $$$
d12548187,$$ - $$$
d12113037,$$ - $$$
d12321528,$$ - $$$
d8339764,$
d8073030,$$ - $$$
d1097059,$$ - $$$
d12945640,$$$$
d7092943,$
d13001385,$$$$
d12630204,$$ - $$$
d2407506,$
d3709334,$
d5614471,$$ - $$$
d6697515,$$ - $$$
d4227711,$$ - $$$
d2614607,$
d4953429,$$ - $$$
d10026779,$
d4799949,$
d12921595,$
d10734451,$
d3785147,$
d12320220,$$ - $$$
d8517072,$
d7311463,$
d7690496,$
d12906918,$$ - $$$
d10028124,$
d10784649,$$ - $$$
d10040334,$$ - $$$
d10701333,$
d4770035,$$ - $$$
d10271724,$$ - $$$
d10769792,$$ - $$$
d10477806,$$ - $$$
d5440481,$$ - $$$
d12598682,$
d5818174,$$ - $$$
d4418101,$
d5080700,$
d11029213,$$ - $$$
d1226617,$$ - $$$
d3685490,$$ - $$$
d10478105,$
d7211474,$$ - $$$
d3529487,$$ - $$$
d11951673,$$ - $$$
d1153049,$$$$
d1099621,$$ - $$$
d13139047,$$ - $$$
d7850012,$
d11958324,$$ - $$$
d12571607,$$ - $$$
d10076062,$$ - $$$
d7599401,$
d4492506,$
d11799782,$
d10488130,$
d5971427,$
d10811036,$$ - $$$
d5506292,$$ - $$$
d12164454,$$ - $$$
d7772581,$
d5122657,$
d4768668,$
d1327141,$$ - $$$
d8414125,$$ - $$$
d13279636,$$ - $$$
d5522002,$
d10201077,$$ - $$$
d9742180,$$ - $$$
d12452377,$$ - $$$
d8808859,$$ - $$$
d4091909,$$ - $$$
d10146454,$$ - $$$
d9456607,$$ - $$$
d7132084,$$ - $$$
d11766630,$
d9745343,$
d10301071,$$ - $$$
d7360304,$$ - $$$
d8362902,$
d7205059,$$ - $$$
d12335302,$$ - $$$
d8435433,$$ - $$$
d8788057,$$ - $$$
d1905070,$$ - $$$
d8397457,$
d9750236,$
d11945680,$$ - $$$
d8338380,$
d2146131,$
d12535679,$
d12789180,$$ - $$$
d5850350,$
d12950509,$$ - $$$
d13239000,$
d4470803,$$ - $$$
d11809877,$$ - $$$
d13504772,$$ - $$$
d8462263,$
d1411212,$
d3729312,$
d8482195,$
d3384860,$$ - $$$
d4006807,$
d3982546,$$ - $$$
d8601922,$$ - $$$
d4090317,$$ - $$$
d733242,$$ - $$$
d1039025,$$ - $$$
d9791357,$
d12025919,$$ - $$$
d7681774,$
d10735138,$$ - $$$
d12862570,$$ - $$$
d7304447,$$ - $$$
d7349508,$$ - $$$
d1012032,$$ - $$$
d5510425,$
d8393660,$
d11909498,$
d11444792,$
d11964473,$
d9737054,$$ - $$$
d12216087,$
d12907448,$
d7045483,$
d12967102,$$ - $$$
