ID_TA,Cuisine Style
d7992032,"Asian,Nepali"
d12503536,"Bar,European,Portuguese"
d12845029,"Cafe,European"
d10696479,"Mediterranean,Spanish"
d10060659,"Spanish,Wine Bar"
d5776152,"Bar,Mediterranean,Spanish"
d11841754,"American,European,Diner"
d12447161,"Italian,Bar,Vegetarian Friendly"
d12676684,"Specialty Food Market,German,Deli"
d10073699,"European,Hungarian"
d11687952,"Vegetarian Friendly,Vegan Options,Gluten Free Options"
d10027275,"Dutch,Cafe,European"
d5599563,"French,European"
d7623654,"French,Vegetarian Friendly,Vegan Options"
d4768085,"Quick Bites,Fast Food"
d7995801,Eastern European
d7967318,Italian
d12681857,French
d13094972,Vegetarian Friendly
d12111665,"Cafe,European"
d12949592,Indian
d12556149,"Chinese,International,Asian"
d13284434,"Japanese,Asian"
d10336129,"French,Bar,Cafe"
d10520643,"European,Portuguese"
d10677156,"Indian,Vegetarian Friendly,Vegan Options"
d8293300,"Quick Bites,Fast Food"
d11903856,"Austrian,European,Central European"
d12336001,"Cafe,European,Portuguese"
d1347837,"Italian,Mediterranean"
d1074698,Basque
d5796187,Fast Food
d7621848,"Italian,Pizza,Vegetarian Friendly"
d10039662,"Mediterranean,Spanish,Vegetarian Friendly"
d12512228,"Barbecue,British"
d10533412,French
d4727188,"Portuguese,Vegetarian Friendly"
d4556019,"Italian,International"
d8736586,Cafe
d1965515,Spanish
d10430050,Spanish
d5869951,"Bar,Pub"
d12997561,"Italian,Mediterranean"
d1417391,"Mediterranean,European"
d1820729,Italian
d12548187,Spanish
d11749991,Deli
d12113037,"French,Cafe"
d12321528,"French,American,Vegetarian Friendly"
d8339764,Italian
d8381040,"European,Portuguese"
d1360884,German
d12630204,"Italian,Mediterranean,Vegetarian Friendly"
d7246537,"Pizza,Seafood"
d3709334,"Mediterranean,Barbecue,Greek"
d5614471,Spanish
d6697515,Italian
d4227711,"French,Bar,European"
d10109314,International
d11842481,Diner
d10026779,"European,Portuguese"
d8401819,"Bar,Cafe,Grill,Pub"
d12921595,"Italian,Mediterranean,Romana"
d3785147,"Italian,Pizza,Vegetarian Friendly"
d12320220,"Chinese,Asian,Vegetarian Friendly"
d12873448,"Chinese,Asian,Thai"
d4924798,"Lebanese,Mediterranean"
d7644937,"Bar,Pub"
d10028124,Spanish
d10040334,American
d10701333,"Chinese,Japanese,Sushi"
d10271724,"American,Cafe,Fast Food"
d5440481,"Cafe,British,Vegetarian Friendly"
d12598682,"Quick Bites,Cafe,Vegan Options"
d8571233,"European,Portuguese"
d4418101,Gluten Free Options
d8657804,"Mediterranean,Spanish"
d5080700,Barbecue
d11029213,"French,Belgian"
d1226617,"Romana,Lazio,Central-Italian"
d10478105,Turkish
